"TOT_LVG_AREA","SPEC_FEAT_VAL","structure_quality","SUBCNTR_DI","LND_SQFOOT","OCEAN_DIST","CNTR_DIST","HWY_DIST","WATER_DIST","age","RAIL_DIST","SALE_PRC"
1753,0,4,37742.2,9375,12811.4,42815.3,15954.9,347.6,67,2815.9,440000
1715,0,4,37340.5,9375,10648.4,43504.9,18125,337.8,63,4359.1,349000
2276,49206,4,37328.7,9375,10574.1,43530.4,18200.5,297.1,61,4412.9,8e+05
2058,10033,4,37423.2,12450,10156.5,43797.5,18514.4,0,63,4585,988000
1684,16681,4,37550.8,12800,10836.8,43599.7,17903.4,326.6,42,4063.4,755000
1531,2978,4,38176.2,9900,13017,43135.1,15687.2,188.9,41,2391.4,630000
1753,23116,5,37973.9,10387,11667.8,43598.7,17068.2,0,63,3277.4,1020000
1663,34933,4,38198.3,10272,11718.1,43780.8,16989.9,10.5,21,3112.4,850000
1493,11668,4,38542,9375,13043.8,43481.7,15623.3,51.5,56,2081.8,250000
3077,34580,5,38235.2,13803,11917.7,43730.1,16787,9.7,63,2937.7,1220000
1983,28806,4,38132.1,10848,11062.3,44018.8,17618.3,12.1,64,3512,1160000
1794,0,2,39333.4,8438,15310.4,43127.5,13433.6,738.6,51,242.8,260000
1509,1248,2,39200.2,8438,14808.8,43244.6,13927,366.5,56,652.2,178000
1331,0,2,39184.8,8438,14750,43261.2,13995.2,353.2,66,705,250000
1742,9836,5,38727.5,8475,12230.7,44047.7,16494,0,46,2432.6,913500
1158,2677,2,39609.3,8375,15183.5,43467.9,13555.8,537.6,65,164,159000
1064,6730,2,39591.8,8375,15119.1,43481.3,13615.1,473.2,48,209.4,199000
2574,37975,4,38994.4,9375,12871,44007.1,15786.3,42,62,1847.6,590000
1529,3607,4,39058.8,10625,12840.6,44081.8,15809.4,43,61,1805.9,450000
4552,35124,5,38841.8,10875,10645.2,44898.4,18007.8,0,8,3253.8,1870000
3137,15972,5,38915.2,10875,10644.5,44968.8,18007.1,0,31,3200.4,1067300
2266,34952,5,39159.6,8550,11300.6,44914.6,17421.5,0,42,2658.6,1056000
3992,22191,5,38871.9,18745,8524,45894.1,20105.8,80.8,59,4621.6,9e+05
1920,34340,5,39419,12315,11328.9,45179.1,17352.7,0,21,2395.1,1015000
2931,30962,5,39195.8,9375,9665,45722.7,19069.7,0.2,58,3662.5,1235000
4428,41032,5,39022.9,12500,8226.9,46198.8,20455.9,0,16,4815.7,1587500
3313,23278,5,39174,9375,8852.7,46059.9,19836.3,0,55,4257.8,1265000
4028,62453,5,39415.6,9375,9672.6,45930.7,19068.5,4.8,2,3523.5,2450000
3083,39782,5,39406.1,9375,9599,45956.4,19144.5,5.6,57,3584.5,980000
2650,4946,5,39736.8,9375,10372.8,45902.9,18330.5,0,60,2835,1130000
2566,38299,5,39573.8,9375,9610.7,46114.7,19140.8,0,58,3479.1,1340000
3315,26097,5,39436.1,15244,7668.4,46848.5,21037.4,0,37,5067.3,1200000
2358,25757,5,39690.8,9375,8856.3,46547.7,19835.7,0,42,3974.4,1550000
2494,48603,5,39637,9750,7829.6,46955.5,20858.2,5.1,16,4844.5,1020000
2541,22771,5,40296.2,9375,11600.7,45878.9,17128.6,3.6,52,1673,975000
2387,24193,5,40070,9375,10250.9,46285.1,18479.8,0,26,2704.7,950000
4480,31386,5,39925.7,13176,8595.8,46908.8,20065.3,0,24,4048.2,1675000
862,0,1,40661.5,1889,9396,47253.4,19372.4,501.4,21,3144.4,120000
916,1342,1,41370.9,2654,11708.3,46884,17059.2,803.5,66,967.4,73000
861,2207,2,41200,2999,10796.2,47121.7,17946.2,835.7,62,1741,86500
884,0,2,41324.7,3000,10668.4,47305.5,18082.7,986.1,58,1773.5,99300
1484,6970,5,49161.3,9140,2416.9,58214.8,17891.1,7.2,46,8143.2,1604000
3096,25519,5,50234.3,9350,6775.6,57701.4,14328.4,36.7,16,3720.8,1225000
4729,31661,5,50464.3,8800,6130,58142.5,14538.6,10.4,16,4288.9,1830000
4289,21507,4,50589.1,9200,7013.6,57952.4,13916.1,34.8,36,3423.6,1900000
2520,20962,4,50767.2,8800,5744.8,58584.9,14581.5,0,31,4616.9,1100000
2991,28567,4,51907.6,9200,6088.9,59591.3,13585.3,10.5,35,4097.8,1375000
2676,26650,4,51905.1,9200,5849,59673.3,13751.1,11.8,42,4329.7,1425000
3082,21648,4,52284.2,8800,5981.9,59994.3,13403.6,15.6,45,4113.1,1270000
2990,46641,4,52448,9350,6166.9,60086.7,13164.2,11,27,3891.9,1250000
3054,26327,4,52663.2,8800,6406.3,60213.5,12857.6,10.2,29,3614.9,1300000
2932,34031,4,53400.4,8800,6251.8,60991.5,12493.5,11.2,30,3609.3,1200000
3537,27568,4,57093,11876,1223.1,63232.2,15124.4,25.2,28,7889,2100000
2111,2801,2,57407.5,13570,1510.1,62911.1,14649.4,218.2,47,7501.9,9e+05
